1240
country:COM	Gross national expenditure (current US$)	low	1.00000
country:SYC	Gross national expenditure (current US$)	low	1.00000
country:BLZ	Gross national expenditure (current US$)	low	1.00000
country:CPV	Gross national expenditure (current US$)	low	1.00000
country:GMB	Gross national expenditure (current US$)	low	1.00000
country:CAF	Gross national expenditure (current US$)	low	1.00000
country:BDI	Gross national expenditure (current US$)	low	1.00000
country:FJI	Gross national expenditure (current US$)	low	1.00000
country:BMU	Gross national expenditure (current US$)	low	1.00000
country:MNE	Gross national expenditure (current US$)	low	1.00000
country:TGO	Gross national expenditure (current US$)	low	1.00000
country:KGZ	Gross national expenditure (current US$)	low	1.00000
country:BRN	Gross national expenditure (current US$)	low	1.00000
country:GNQ	Gross national expenditure (current US$)	low	1.00000
country:XKX	Gross national expenditure (current US$)	low	1.00000
country:MUS	Gross national expenditure (current US$)	low	1.00000
country:GAB	Gross national expenditure (current US$)	low	1.00000
country:BHS	Gross national expenditure (current US$)	low	1.00000
country:TCD	Gross national expenditure (current US$)	low	1.00000
country:RWA	Gross national expenditure (current US$)	low	1.00000
country:NAM	Gross national expenditure (current US$)	low	1.00000
country:MLT	Gross national expenditure (current US$)	low	1.00000
country:ARM	Gross national expenditure (current US$)	low	1.00000
country:MNG	Gross national expenditure (current US$)	low	1.00000
country:MDG	Gross national expenditure (current US$)	low	1.00000
country:NIC	Gross national expenditure (current US$)	mediumLow	1.00000
country:JAM	Gross national expenditure (current US$)	mediumLow	1.00000
country:MKD	Gross national expenditure (current US$)	mediumLow	1.00000
country:GIN	Gross national expenditure (current US$)	mediumLow	1.00000
country:MDA	Gross national expenditure (current US$)	mediumLow	1.00000
country:NER	Gross national expenditure (current US$)	mediumLow	1.00000
country:ALB	Gross national expenditure (current US$)	mediumLow	1.00000
country:MLI	Gross national expenditure (current US$)	mediumLow	1.00000
country:GEO	Gross national expenditure (current US$)	mediumLow	1.00000
country:PSE	Gross national expenditure (current US$)	mediumLow	1.00000
country:BIH	Gross national expenditure (current US$)	mediumLow	1.00000
country:HTI	Gross national expenditure (current US$)	mediumLow	1.00000
country:ISL	Gross national expenditure (current US$)	mediumLow	1.00000
country:MAC	Gross national expenditure (current US$)	mediumLow	1.00000
country:KHM	Gross national expenditure (current US$)	mediumLow	1.00000
country:CYP	Gross national expenditure (current US$)	mediumLow	1.00000
country:SEN	Gross national expenditure (current US$)	mediumLow	1.00000
country:SDN	Gross national expenditure (current US$)	mediumLow	1.00000
country:HND	Gross national expenditure (current US$)	mediumLow	1.00000
country:EST	Gross national expenditure (current US$)	mediumLow	1.00000
country:SLV	Gross national expenditure (current US$)	mediumLow	1.00000
country:PRY	Gross national expenditure (current US$)	mediumLow	1.00000
country:LVA	Gross national expenditure (current US$)	mediumLow	1.00000
country:BOL	Gross national expenditure (current US$)	mediumLow	1.00000
country:UGA	Gross national expenditure (current US$)	mediumLow	1.00000
country:AZE	Gross national expenditure (current US$)	medium	1.00000
country:CMR	Gross national expenditure (current US$)	medium	1.00000
country:NPL	Gross national expenditure (current US$)	medium	1.00000
country:COD	Gross national expenditure (current US$)	medium	1.00000
country:JOR	Gross national expenditure (current US$)	medium	1.00000
country:URY	Gross national expenditure (current US$)	medium	1.00000
country:AGO	Gross national expenditure (current US$)	medium	1.00000
country:LUX	Gross national expenditure (current US$)	medium	1.00000
country:SVN	Gross national expenditure (current US$)	medium	1.00000
country:BLR	Gross national expenditure (current US$)	medium	1.00000
country:LTU	Gross national expenditure (current US$)	medium	1.00000
